Source Question,Ground Truth,Source Answer,Source Answer ID,Target Answer ID,New Question,New Answer ID,Inspection Conclusion
what is real name of santa claus,"[{'kb_id': 'm.0f9q7', 'text': 'Saint Nicholas'}]",john call,m.0k2w3p,['m.09c7w0'],what is the nationality of real name of santa claus,"['m.01yvs', 'm.0bxtg', 'm.01m4kpp', 'm.0fb7c', 'm.08k1lz', 'm.0jnb0', 'm.0j725nf', 'm.02qk458', 'm.01nm3s', 'm.03crrg', 'm.059xvg', 'm.01nrgq', 'm.024t2v', 'm.01__r0', 'm.05c39sj', 'm.015qt5', 'm.019vgs', 'm.0287hb', 'm.02tkzn', 'm.01p4r3', 'm.0pgm3', 'm.01kt17', 'm.03xb2w', 'm.0bvw_w', 'm.094rb6', 'm.0bxsr2g', 'm.02r_d4', 'm.0h953', 'm.02zfg3', 'm.06wc9gr', 'm.06hp9b', 'm.0bv4_7', 'm.026833n', 'm.02z023s', 'm.0gc13z3', 'm.04lg9r', 'm.027z0b6', 'm.09_30h', 'm.04bg9k', 'm.0g7v1t', 'm.0vy1k0j', 'm.0k2w3p', 'm.0zcbl', 'm.03dn9v']",SA
what is the language of russia s spoken,"[{'kb_id': 'm.02lpht', 'text': 'Erzya Language'}, {'kb_id': 'm.0198z0', 'text': 'Chechen Language'}, {'kb_id': 'm.0264gxt', 'text': 'Aghul language'}, {'kb_id': 'm.0880p', 'text': 'Yiddish Language'}, {'kb_id': 'm.01qyqy', 'text': 'Abaza Language'}, {'kb_id': 'm.037lmh', 'text': 'Ingush Language'}, {'kb_id': 'm.04xqkr', 'text': 'Karachay-Balkar Language'}, {'kb_id': 'm.054zyh', 'text': 'Buryat language'}, {'kb_id': 'm.02nbbh', 'text': 'Adyghe Language'}, {'kb_id': 'm.017dsl', 'text': 'Osetin Language'}, {'kb_id': 'm.01y_vl', 'text': 'Mari language'}, {'kb_id': 'm.06b_j', 'text': 'Russian Language'}, {'kb_id': 'm.02q4t0g', 'text': 'Rutul language'}, {'kb_id': 'm.01bcw_', 'text': 'Azerbaijani language'}, {'kb_id': 'm.02mj1c', 'text': 'Kalmyk-Oirat Language'}, {'kb_id': 'm.093gjw', 'text': 'Khakas Language'}, {'kb_id': 'm.019yz7', 'text': 'Tatar Language'}, {'kb_id': 'm.06bw_x', 'text': 'Tabassaran Language'}, {'kb_id': 'm.037nfm', 'text': 'Altai language'}, {'kb_id': 'm.04rxz0', 'text': 'Kumyk Language'}, {'kb_id': 'm.049jrm', 'text': 'Udmurt Language'}, {'kb_id': 'm.03klw8', 'text': 'Dargwa Language'}, {'kb_id': 'm.03f3f1', 'text': 'Crimean Turkish Language'}, {'kb_id': 'm.03gn_0', 'text': 'Nogai Language'}, {'kb_id': 'm.03wt_j', 'text': 'Komi language'}, {'kb_id': 'm.02hwm9x', 'text': 'Moksha Language'}, {'kb_id': 'm.020g7w', 'text': 'Bashkir Language'}, {'kb_id': 'm.027bj_4', 'text': 'Tsakhur Language'}, {'kb_id': 'm.02mxzf', 'text': 'Kabardian Language'}, {'kb_id': 'm.0cjk9', 'text': 'Ukrainian Language'}, {'kb_id': 'm.02x9lm', 'text': 'Lezgi Language'}, {'kb_id': 'm.05l6md', 'text': 'Yakut Language'}, {'kb_id': 'm.02gj5b', 'text': 'Tuvin Language'}, {'kb_id': 'm.0234zj', 'text': 'Avar Language'}, {'kb_id': 'm.091dr6', 'text': 'Lak Language'}]",karachay-balkar language,m.04xqkr,['m.05kf4hf'],what is the languoid class of the language of russia s spoken,['m.06b_j'],NA
what other movies has tom hardy played in,"[{'kb_id': 'm.0661ql3', 'text': 'Inception'}, {'kb_id': 'm.0d6_8r', 'text': 'The Reckoning'}, {'kb_id': 'm.0f_j1n', 'text': 'Splinter Cell'}, {'kb_id': 'm.04cwpt9', 'text': 'Colditz'}, {'kb_id': 'm.04j0l1s', 'text': 'Sweeney Todd'}, {'kb_id': 'm.03tyb3', 'text': 'The Virgin Queen'}, {'kb_id': 'm.0qm8b', 'text': 'Black Hawk Down'}, {'kb_id': 'm.07yvsn', 'text': 'Marie Antoinette'}, {'kb_id': 'm.02vvwqg', 'text': 'RocknRolla'}, {'kb_id': 'm.0b62y7', 'text': 'Dot the I'}, {'kb_id': 'm.0gxmc0c', 'text': 'Sergeant Slaughter, My Big Brother'}, {'kb_id': 'm.05szl93', 'text': 'Warrior'}, {'kb_id': 'm.0ggbhy7', 'text': 'Tinker Tailor Soldier Spy'}, {'kb_id': 'm.0413tm', 'text': 'Layer Cake'}, {'kb_id': 'm.04f2_t4', 'text': 'The Inheritance'}, {'kb_id': 'm.02w90vl', 'text': 'Flood'}, {'kb_id': 'm.04j1_st', 'text': 'Lethal Dose'}, {'kb_id': 'm.0gp4pz', 'text': 'EMR'}, {'kb_id': 'm.0ck3fq1', 'text': 'Deserter'}, {'kb_id': 'm.0vv7fv2', 'text': 'The Outsider'}, {'kb_id': 'm.010s_rgr', 'text': 'Legend'}, {'kb_id': 'm.0w7ptqf', 'text': 'Child 44'}, {'kb_id': 'm.04z_tyl', 'text': 'Bronson'}, {'kb_id': 'm.02852xd', 'text': 'Scenes of a Sexual Nature'}, {'kb_id': 'm.0681f6', 'text': ""Gideon's Daughter""}, {'kb_id': 'm.0gx8_b7', 'text': 'Perfect'}, {'kb_id': 'm.0nh514x', 'text': 'Everest'}, {'kb_id': 'm.012vy2c1', 'text': 'London Road'}, {'kb_id': 'm.03g_b58', 'text': 'Thick as Thieves'}, {'kb_id': 'm.014lc_', 'text': 'Star Trek Nemesis'}, {'kb_id': 'm.0h4ymqz', 'text': 'Sucker Punch'}, {'kb_id': 'm.0gfh84d', 'text': 'Lawless'}, {'kb_id': 'm.0v3gp6q', 'text': 'Locke'}, {'kb_id': 'm.0bpm4yw', 'text': 'The Dark Knight Rises'}, {'kb_id': 'm.010b8p1w', 'text': 'The Revenant'}, {'kb_id': 'm.03m6sts', 'text': 'W¦¤Z'}, {'kb_id': 'm.0tkj5w3', 'text': 'The Drop'}, {'kb_id': 'm.02d3wv', 'text': 'Mad Max: Fury Road'}, {'kb_id': 'm.05t1gh', 'text': 'Minotaur'}, {'kb_id': 'm.0dll_t2', 'text': 'This Means War'}]",the inheritance,m.04f2_t4,['m.02h40lc'],what is the language of the other movies has tom hardy played in,"['m.010s_rgr', 'm.0bpm4yw', 'm.05szl93', 'm.0661ql3', 'm.04z_tyl', 'm.014lc_', 'm.0v3gp6q', 'm.0ggbhy7', 'm.0qm8b', 'm.04j1_st', 'm.03m6sts', 'm.0gxmc0c', 'm.0gp4pz', 'm.0gx8_b7', 'm.0w7ptqf', 'm.0413tm', 'm.04f2_t4', 'm.0ck3fq1', 'm.0h4ymqz', 'm.05t1gh', 'm.04j0l1s', 'm.02d3wv', 'm.03g_b58', 'm.0f_j1n', 'm.0dll_t2', 'm.0gfh84d', 'm.0tkj5w3', 'm.0b62y7', 'm.0d6_8r', 'm.02w90vl', 'm.02852xd', 'm.02vvwqg', 'm.010b8p1w', 'm.04cwpt9', 'm.03tyb3', 'm.0vv7fv2', 'm.07yvsn']",NA
what is the zip code of syracuse ny,"[{'kb_id': 'm.020gbfx', 'text': '13220'}, {'kb_id': 'm.07nrnp9', 'text': '13201'}, {'kb_id': 'm.03dv6qx', 'text': '13214'}, {'kb_id': 'm.03dv6px', 'text': '13210'}, {'kb_id': 'm.07nrnnf', 'text': '13225'}, {'kb_id': 'm.07nrnnn', 'text': '13221'}, {'kb_id': 'm.020gbl7', 'text': '13215'}, {'kb_id': 'm.03dv6n8', 'text': '13206'}, {'kb_id': 'm.020gbdx', 'text': '13261'}, {'kb_id': 'm.020gbq8', 'text': '13203'}, {'kb_id': 'm.07nrnmk', 'text': '13251'}, {'kb_id': 'm.03dv6s2', 'text': '13290'}, {'kb_id': 'm.020gbtz', 'text': '13202'}, {'kb_id': 'm.07nrnms', 'text': '13250'}, {'kb_id': 'm.07nrnnw', 'text': '13218'}, {'kb_id': 'm.03dv6mg', 'text': '13204'}, {'kb_id': 'm.03dv6qh', 'text': '13212'}, {'kb_id': 'm.03dv6ph', 'text': '13209'}, {'kb_id': 'm.07nrnm_', 'text': '13244'}, {'kb_id': 'm.020gbj8', 'text': '13224'}, {'kb_id': 'm.07nrnmb', 'text': '13252'}, {'kb_id': 'm.03dv6rh', 'text': '13219'}, {'kb_id': 'm.03dv6p2', 'text': '13208'}, {'kb_id': 'm.03dv6mw', 'text': '13205'}, {'kb_id': 'm.03dv6np', 'text': '13207'}, {'kb_id': 'm.07nrnn6', 'text': '13235'}, {'kb_id': 'm.0h7bww4', 'text': '13244-1020'}, {'kb_id': 'm.07nrnp2', 'text': '13217'}, {'kb_id': 'm.020gbhg', 'text': '13211'}]",13221,m.07nrnnn,['m.01xrdt7'],what is the notable types of the zip code of syracuse ny,"['m.03dv6px', 'm.03dv6ph', 'm.03dv6mg', 'm.020gbtz', 'm.07nrnp2', 'm.07nrnms', 'm.07nrnn6', 'm.07nrnnf', 'm.07nrnp9', 'm.07nrnnn', 'm.07nrnmb', 'm.07nrnnw', 'm.020gbfx', 'm.07nrnmk', 'm.020gbdx', 'm.0h7bww4', 'm.03dv6s2', 'm.03dv6p2', 'm.03dv6qh', 'm.020gbl7', 'm.020gbj8', 'm.03dv6np', 'm.03dv6n8', 'm.020gbhg', 'm.020gbq8', 'm.03dv6rh', 'm.03dv6mw', 'm.03dv6qx']",NA
what was antoni gaudi inspired by,"[{'kb_id': 'm.02mpv', 'text': 'Eug¨¨ne Viollet-le-Duc'}, {'kb_id': 'm.08304', 'text': 'William Morris'}]",william morris,m.08304,['m.03j651'],what is the namesakes of antoni gaudi inspired by,"['m.02mpv', 'm.08304', 'm.0c1t19g']",NA
what to do today in atlanta with kids,"[{'kb_id': 'm.04qrhq', 'text': 'Fox Theatre'}, {'kb_id': 'm.06bxs4', 'text': 'Jimmy Carter Library and Museum'}, {'kb_id': 'm.03l1zc', 'text': 'Centennial Olympic Park'}, {'kb_id': 'm.027r6hr', 'text': 'Cobb Energy Performing Arts Centre'}, {'kb_id': 'm.039xmp', 'text': 'Omni Coliseum'}, {'kb_id': 'm.0j28sdt', 'text': 'Atlanta Jewish Film Festival'}, {'kb_id': 'm.038bv6', 'text': 'Georgia Dome'}, {'kb_id': 'm.0b5g4p', 'text': 'Masquerade'}, {'kb_id': 'm.02xmrp', 'text': 'The Tabernacle'}, {'kb_id': 'm.050n0y', 'text': 'Atlanta History Center'}, {'kb_id': 'm.027t71h', 'text': 'Four Seasons Hotel Atlanta'}, {'kb_id': 'm.0gln9p', 'text': 'Center for Puppetry Arts'}, {'kb_id': 'm.050m_5', 'text': 'Woodruff Arts Center'}, {'kb_id': 'm.05c25f2', 'text': 'Variety Playhouse'}, {'kb_id': 'm.050my1', 'text': 'Martin Luther King, Jr. National Historic Site'}, {'kb_id': 'm.050mtz', 'text': 'Margaret Mitchell House & Museum'}, {'kb_id': 'm.0c3cp2', 'text': 'Arbor Place Mall'}, {'kb_id': 'm.04_mbv', 'text': 'World of Coca-Cola'}, {'kb_id': 'm.038gvs', 'text': 'Philips Arena'}, {'kb_id': 'm.020fp1', 'text': 'Turner Field'}, {'kb_id': 'm.029fnx', 'text': 'Underground Atlanta'}, {'kb_id': 'm.04jny9', 'text': 'Fernbank Museum of Natural History'}, {'kb_id': 'm.03sm22', 'text': 'Six Flags Over Georgia'}, {'kb_id': 'm.0130ft', 'text': 'Atlanta Symphony Orchestra'}, {'kb_id': 'm.03q1hw', 'text': 'Zoo Atlanta'}, {'kb_id': 'm.0fpmfg', 'text': 'Atlanta Ballet'}, {'kb_id': 'm.030pkm', 'text': 'Peachtree Road Race'}, {'kb_id': 'm.03xrf5', 'text': 'Georgia State Capitol'}, {'kb_id': 'm.033h7k', 'text': 'Georgia Aquarium'}, {'kb_id': 'm.03wm34', 'text': 'Atlanta Cyclorama & Civil War Museum'}, {'kb_id': 'm.04htb5', 'text': 'Fernbank Science Center'}, {'kb_id': 'm.04d135', 'text': 'CNN Center'}, {'kb_id': 'm.02jnft', 'text': 'Atlanta Marriott Marquis'}, {'kb_id': 'm.03spbl', 'text': 'Six Flags White Water'}, {'kb_id': 'm.02wl1b', 'text': 'Georgia World Congress Center'}, {'kb_id': 'm.03cspcp', 'text': 'Hyatt Regency Atlanta'}]",world of coca-cola,m.04_mbv,['g.12558l1rk'],the thing to do today in atlanta with kids is notable for what,"['m.03sm22', 'm.03spbl', 'm.0c3cp2', 'm.050m_5', 'm.0j28sdt', 'm.0gln9p', 'm.050n0y', 'm.06bxs4', 'm.050mtz', 'm.027t71h', 'm.02jnft', 'm.03cspcp', 'm.050my1', 'm.030pkm', 'm.0130ft', 'm.038gvs', 'm.04_mbv', 'm.027r6hr', 'm.033h7k', 'm.04d135', 'm.02xmrp', 'm.04jny9', 'm.05c25f2', 'm.020fp1', 'm.029fnx', 'm.03wm34', 'm.03q1hw', 'm.03xrf5', 'm.0b5g4p', 'm.038bv6', 'm.039xmp', 'm.03l1zc', 'm.02wl1b', 'm.0fpmfg', 'm.04htb5']",NA
what is the capital of modern day egypt,"[{'kb_id': 'm.01w2v', 'text': 'Cairo'}]",cairo,m.01w2v,['m.0g98x81'],the capital of modern day egypt is subject of what,['m.01w2v'],NA
what to do with kids in essex,"[{'kb_id': 'm.0k6f1nc', 'text': 'Cudmore Grove Country Park'}, {'kb_id': 'm.0k6f1p1', 'text': 'Mistley Place Park'}, {'kb_id': 'm.0fyfyd', 'text': 'RHS Garden, Hyde Hall'}, {'kb_id': 'm.0k6f1n4', 'text': 'Thorndon Country Park'}, {'kb_id': 'm.0v3bszv', 'text': 'Stansted Mountfitchet Castle'}, {'kb_id': 'm.0ff9kn', 'text': 'Waltham Abbey Royal Gunpowder Mills'}, {'kb_id': 'm.05zjnd', 'text': 'Colchester Zoo'}, {'kb_id': 'm.0k5wwrf', 'text': 'Marsh Farm Country Park'}, {'kb_id': 'm.04g1431', 'text': 'Beth Chatto Gardens'}, {'kb_id': 'm.0k6f1nr', 'text': 'Green Island Gardens'}]",waltham abbey royal gunpowder mills,m.0ff9kn,['m.02_v2zh'],what is the geolocation of the thing to do with kids in essex,"['m.01q20', 'm.0865t', 'm.05zjnd', 'm.03mkh', 'm.0v3bszv', 'm.0b0d80', 'm.02vssj', 'm.07mq4k', 'm.0ff9kn', 'm.05zn110', 'm.04g1431']",NA
what are the colors of the ny giants,"[{'kb_id': 'm.06fvc', 'text': 'Red'}, {'kb_id': 'm.036k5h', 'text': 'Grey'}, {'kb_id': 'm.01g5v', 'text': 'Blue'}, {'kb_id': 'm.083jv', 'text': 'White'}]",blue,m.01g5v,"['m.01pcsb', 'm.03kb_z', 'm.03f60l', 'm.03d52d9', 'm.0404tm5', 'm.02q4dy3', 'm.02q8l2z', 'm.0dqtgd', 'm.027n175', 'm.04yh81n', 'm.0270nfk', 'm.0270smr', 'm.03nrcz', 'm.04hfnv', 'm.07hn_h', 'm.08jgy2', 'm.095ff3', 'm.09zj84', 'm.0bppdy', 'm.0dwht4', 'm.0fpn82', 'm.02r5m08', 'm.01ycq7', 'm.04kdfm', 'm.03n_z_', 'm.0560fq', 'm.0774n_9', 'm.0644jgv', 'm.046gsl', 'm.0h63c0p', 'm.0m2wm', 'm.05f4c48', 'm.08d11k', 'm.01pd9l', 'm.09h0bt', 'm.03_yz9', 'm.030vqf', 'm.03cvg0g', 'm.0658l30', 'm.09zx52', 'm.0466sw0', 'm.07kgkx0', 'm.02rz0z8', 'm.04x9m6', 'm.024kd0', 'm.0btdvl', 'm.0gzgw6', 'm.06zjdz', 'm.08gfw_', 'm.0f9gxr', 'm.03m6h5r', 'm.0d8qrb', 'm.026z99l', 'm.02znsf', 'm.07gt08', 'm.04ycfmr', 'm.04m5s5', 'm.03qpbs', 'm.075_6j', 'm.0546fm', 'm.03mdl03', 'm.04n04c', 'm.03wb21n', 'm.0961j', 'm.03nslkj', 'm.02vn7df', 'm.02rwxfv', 'm.03m6gqm', 'm.05071l', 'm.06l1yh', 'm.03gt941', 'm.0656pp', 'm.04ctfn9', 'm.0750v_', 'm.076_nzg', 'm.0bkmy0', 'm.027tqkw', 'm.08yg9t', 'm.047qmw7', 'm.0791jx', 'm.05myyk4', 'm.0glv7h', 'm.076_n_d', 'm.03gqcfc', 'm.0cfqcy', 'm.04cvc_1', 'm.02plthk', 'm.04mf04', 'm.076_n_p', 'm.076_p0q', 'm.02r42__', 'm.03mwql', 'm.0gqm91', 'm.076_p1r', 'm.04n6918', 'm.07184k', 'm.0d73tr', 'm.025t_s9', 'm.0gv1_v', 'm.02r_bfk', 'm.02qpmd_', 'm.02rh745', 'm.01ds5q', 'm.03m74qm', 'm.0br9z_', 'm.0c942n', 'm.05xvq4', 'm.0908dn', 'm.05bdy19', 'm.0bz86v', 'm.03d6ygd', 'm.02w3cl', 'm.06z43y', 'm.06f_22', 'm.048qvh', 'm.07lf1t', 'm.03qvwf', 'm.04zv_n7', 'm.02r4l4g', 'm.02pvrd0', 'm.0288q1n', 'm.06kr_9', 'm.064l65f', 'm.02z66xt', 'm.076_pfg', 'm.040lhg', 'm.026h_pn', 'm.08gfys', 'm.03bypqq', 'm.04zxt98', 'm.0267vl4', 'm.0c1406', 'm.0dqjd_', 'm.03c8v9m', 'm.02y_q7z', 'm.03d92nr', 'm.09qgpm', 'm.03h39gl', 'm.02r6c1d', 'm.02qhf6v', 'm.07kyrd', 'm.095zyh', 'm.092mjq', 'm.02x6wpf', 'm.0grr15', 'm.0flys2', 'm.08p3j7', 'm.02z0qwv', 'm.0270ntl', 'm.0658l6c', 'm.03m6g30', 'm.0ds335', 'm.03gwrsc', 'm.0fq7z9', 'm.03m6fyw', 'm.0dlqmz', 'm.05sygxl', 'm.02wck4v', 'm.0gcy56m', 'm.04f1yms', 'm.06z4z0', 'm.02vq1hs', 'm.02x6w91', 'm.06l8xn', 'm.0yfq40f', 'm.056gqv', 'm.08dhbb', 'm.08j9nv', 'm.043r114', 'm.080lft', 'm.0ggyrt', 'm.03c20kt', 'm.097r22', 'm.03nsssq', 'm.0f2ybq', 'm.076_p0x', 'm.05ch0k', 'm.03wf7q8', 'm.0bz79s', 'm.0dg1sn', 'm.0hz9l79', 'm.03d0psr', 'm.0dgl16', 'm.04yflbh', 'm.059_g2', 'm.0gtkxj', 'm.09krrt', 'm.0dwgmx', 'm.0267cq_', 'm.02pnng2', 'm.03nrq6w', 'm.0462nq_', 'm.04ycz47', 'm.05szjks', 'm.076_nz8', 'm.07j20f', 'm.09r5t6', 'm.0dgd4v', 'm.0dpg4v', 'm.0f0h9z', 'm.0flz12', 'm.06z58_', 'm.0274c61', 'm.04my5zx', 'm.03m747h', 'm.02y_n_m', 'm.03cbt_y', 'm.0462dzj', 'm.0yfq407']",who is the fashion models with this eye color of the colors of the ny giants,['m.05jl4g'],NA
what are all the songs justin bieber wrote,"[{'kb_id': 'm.0bmc2ql', 'text': 'Somebody to Love'}, {'kb_id': 'm.0jxkzb9', 'text': 'All Around The World'}, {'kb_id': 'm.0yt3yyw', 'text': 'Wait for a Minute'}, {'kb_id': 'm.0zgb5ny', 'text': 'Roller Coaster'}, {'kb_id': 'm.0bbvzq2', 'text': 'Never Let You Go'}, {'kb_id': 'm.0zg6nnd', 'text': 'Change Me'}, {'kb_id': 'm.0k0l2vf', 'text': 'As Long as You Love Me'}, {'kb_id': 'm.0zmzvrc', 'text': 'Confident'}, {'kb_id': 'm.0zbv_v0', 'text': 'All Bad'}, {'kb_id': 'm.0bbz4p9', 'text': 'Eenie Meenie'}, {'kb_id': 'm.0ynrkyl', 'text': 'All That Matters'}, {'kb_id': 'm.0jwqwyx', 'text': ""Turn to You (Mother's Day Dedication)""}, {'kb_id': 'm.0y6b7k5', 'text': 'Heartbreaker'}, {'kb_id': 'm.0c3vvnk', 'text': 'Never Say Never'}, {'kb_id': 'm.0jxk_hq', 'text': 'Thought Of You'}, {'kb_id': 'm.012k_48s', 'text': 'Home to Mama'}, {'kb_id': 'm.09v3gb4', 'text': 'Baby'}, {'kb_id': 'm.0qfpkqq', 'text': 'Right Here'}, {'kb_id': 'm.0fqlv5l', 'text': 'Bigger'}, {'kb_id': 'm.0yt3zg2', 'text': 'Recovery'}, {'kb_id': 'm.0z6sgcx', 'text': 'Bad Day'}, {'kb_id': 'm.0rytzvz', 'text': '#thatPower'}, {'kb_id': 'm.0zdkrym', 'text': 'PYD'}, {'kb_id': 'm.0g5q9ky', 'text': 'First Dance'}, {'kb_id': 'm.0j64n8c', 'text': 'Boyfriend'}, {'kb_id': 'm.0j4453t', 'text': 'Live My Life'}, {'kb_id': 'm.0jwx2_w', 'text': 'Die in Your Arms'}, {'kb_id': 'm.0ljtwfj', 'text': 'Beautiful'}, {'kb_id': 'm.0yt1lb9', 'text': 'Hold Tight'}, {'kb_id': 'm.0g5b0p2', 'text': 'Pray'}, {'kb_id': 'm.0jxk_kq', 'text': 'Beauty And A Beat'}, {'kb_id': 'm.0116pj4q', 'text': 'Lolly'}]",right here,m.0rd_ynp,"['m.0rd_ynp', 'm.0jxkyt2']",what is the versions of the are all the songs justin bieber wrote,"['m.09v3gb4', 'm.0j64n8c', 'm.0g5b0p2', 'm.0rytzvz', 'm.0j4453t', 'm.0116pj4q', 'm.0y6b7k5', 'm.0c3vvnk', 'm.0jxk_kq', 'm.0bbz4p9', 'm.0bmc2ql', 'm.0k0l2vf', 'm.0qfpkqq', 'm.0gs6vr', 'm.0ynrkyl', 'm.0zg6nnd', 'm.0jwx2_w', 'm.0yt1lb9', 'm.0zdkrym', 'm.0yt3yyw', 'm.0jwqwyx', 'm.0jxk_hq', 'm.0zgb5ny', 'm.0zbv_v0', 'm.0yt3zg2']",FP
what was obama 's former occupation,"[{'kb_id': 'm.04gc2', 'text': 'Lawyer'}, {'kb_id': 'm.0kyk', 'text': 'Author'}, {'kb_id': 'm.0cbd2', 'text': 'Writer'}, {'kb_id': 'm.0fz465', 'text': 'Law professor'}, {'kb_id': 'm.0fj9f', 'text': 'Politician'}]",president barack obama: the man and his journey,m.0crt0hb,['m.02h40lc'],what is the language of obama's former occupation,"['m.03j8h2', 'm.02_w_sv', 'm.01xljv7', 'm.0fz465', 'm.0kyk', 'm.07vsl', 'm.0bh8tgs', 'm.062z7', 'm.0ncztcp', 'm.0cbd2', 'm.0j63lyh', 'm.0crwcdq', 'm.0crt0hb', 'm.0gyhlhs', 'm.0kvfm_7', 'm.0cryr1_', 'm.0crvjn3', 'm.0gxdf11', 'm.0crvlmx', 'm.0hzr2vb', 'm.0cs0dl2', 'm.07k7ldh', 'm.0fpp7kp', 'm.0dgl7y1', 'm.0c030yv', 'm.0c0bf', 'm.0g9z_32', 'm.07np8dv', 'm.05ctx2m', 'm.0bg53_', 'm.08_hns', 'm.07t58', 'm.02_7l8y', 'm.0g59_94', 'm.0ddg765', 'm.0dq_h2', 'm.0b_zyqw', 'm.07l8hn5', 'm.0cs48cl', 'm.0cq0r_', 'm.010rycm0', 'm.03zcp2', 'm.0djt894', 'm.0fj9f', 'm.0d75rf', 'm.0hnx0cj', 'm.04gc2', 'm.0hyf1', 'm.03mf5b9', 'm.0dc5p65', 'm.030xjt', 'm.010phg91', 'm.0f8l9c', 'm.0bmf362', 'm.03l3ln', 'm.018q7p', 'm.04gfwg', 'm.05pwncn', 'm.0hr60_z', 'm.0m2g62x', 'm.0cs4q6w', 'm.0cs4y_q', 'm.04f59hd', 'm.04zw_wn', 'm.0r8l0k9', 'm.03hkp', 'm.0bwkpy8', 'm.01rcm2', 'm.04yf04_', 'm.0c3gnt', 'm.076x588', 'm.0zg74wp', 'm.06j9x1', 'm.05nd5d7', 'm.0zc23b6', 'm.04z96wf', 'm.04zmrm', 'm.04zygz4', 'm.06zpk9w', 'm.043q5k', 'm.01d1nj', 'm.03mdbqx', 'm.04zwf6q', 'm.02_wz8t', 'm.04z_1qn', 'm.05q2c', 'm.04z_7bv', 'm.0z2dkqc', 'm.0c7c5b', 'm.051vqpr', 'm.03m9_9r', 'm.01fnb2', 'm.02d9nr', 'm.02f57y', 'm.0gg6t0l', 'm.07wrz', 'm.054z0fx', 'm.0cb5gq', 'm.09ryzqt']",SA
who is michael j fox 's wife,"[{'kb_id': 'm.03gpck', 'text': 'Tracy Pollan'}]",tracy pollan,m.03gpck,['m.02hrh1q'],who is the profession of michael j fox's wife,['m.03gpck'],NA
who is the coach of the sf giants,"[{'kb_id': 'm.02680w9', 'text': 'Bill Hayes'}, {'kb_id': 'm.085wxv', 'text': 'Mark Gardner'}, {'kb_id': 'm.02yf3x', 'text': 'Dave Righetti'}, {'kb_id': 'm.07w9kn', 'text': 'Ron Wotus'}, {'kb_id': 'm.02plhsr', 'text': 'Tim Flannery'}, {'kb_id': 'm.079w94', 'text': 'Roberto Kelly'}, {'kb_id': 'm.057jcc', 'text': 'Carney Lansford'}]",alan cockrell,m.02787pj,['m.04vx0x_'],what is the drafted of the coach of the sf giants,"['m.0ds8qct', 'm.09gnk2r', 'm.019sc', 'm.01l849', 'm.0fp_5x2', 'm.04fnx_', 'm.010q_p9h', 'm.010r3xsl', 'm.04vy2__', 'm.04w1xpc', 'm.0jc_p', 'm.07s3z6q']",SA
