Source Question,Ground Truth,Source Answer,Source Answer ID,Statement (SQ+SA),Target Answer,Target Answer ID,New Question,New Answer ID,Inspection Conclusion
What magazine with earliest publication end date did Edgar Allan Poe work for?,"[{'kb_id': 'm.028b1d9', 'text': ""Burton's Gentleman's Magazine""}]",the fall of the house of usher,m.0jqsr,edgar allan poe worked for the fall of the house of usher with earliest publication end date.,edgar allan poe,m.02lt8,Who worked for the fall of the house of usher with earliest publication end date ?,"['m.0fzxk_', 'm.09rwmj', 'm.03np6zt', 'm.0808gz6', 'm.04g16fg', 'm.01yr53', 'm.0b6g54w', 'm.0dwmb_', 'm.03gt9vs', 'm.0489tz', 'm.09yh83', 'm.0447rg', 'm.096j2', 'm.066cnz', 'm.04y89f0', 'm.02zsf9', 'm.067sbzp', 'm.01fl7r', 'm.03nx23k', 'm.094jv', 'm.02pp4fj', 'm.0286_88', 'm.0bbqqp2', 'm.0bbqqpl', 'm.07w_jbh', 'm.0k2tc', 'm.026sy10', 'm.025zjtf', 'm.05j038', 'm.070pkl', 'm.0bnl0g', 'm.09cr2x', 'm.053rt0', 'm.05k3q8', 'm.09rwkg', 'm.0df1z6', 'm.01z6yp', 'm.05976s', 'm.03fgzy', 'm.0c38k8', 'm.08xl3k', 'm.059v0g', 'm.07wvrh3', 'm.025f6g', 'm.05zrytd', 'm.0bg4v4', 'm.0dns78', 'm.0g5qth', 'm.03q9jbz', 'm.07fk4z6', 'm.07fk4y6', 'm.07fk4hv', 'm.0bbqqpb', 'm.04w3c6', 'm.0g626q', 'm.06g7gv', 'm.027sh2h', 'm.0bbqqnv', 'm.0bfm2jq', 'm.01ql7ww', 'm.0ffq00', 'm.02hds1', 'm.09v6rrx', 'm.04b9zv', 'm.0dkg6f', 'm.02r9skg', 'm.05977w', 'm.08qg5z', 'm.079csk', 'm.02qjrdq', 'm.01v2p6', 'm.028v3', 'm.0288rm6', 'm.09kgb_k', 'm.09k2sj2', 'm.07hl_sz', 'm.0f466k', 'm.09j99fv', 'm.0b8rsg', 'm.07hl_tf', 'm.09k7t2l', 'm.027tj6p', 'm.06v09r7', 'm.06b6lkp', 'm.098cntp', 'm.09dtph8', 'm.069ngqt', 'm.098cmwn', 'm.09byb3w', 'm.07hl95r', 'm.09dtpdb', 'm.07hl95h', 'm.069ly9r', 'm.06lws78', 'm.06p0vgc', 'm.06cym2d', 'm.09dtphl', 'm.098ckjw', 'm.01dh1c', 'm.07hhfgw', 'm.07hh8jk', 'm.07hhfgd', 'm.0d2lz5', 'm.02gtd4', 'm.027tj0v', 'm.02650vf', 'm.02krdz', 'm.03n57b', 'm.05mr4_7', 'm.09qycb', 'm.0339dm', 'm.0drmym', 'm.09jxzbp', 'm.03pm5_', 'm.09j9ksx', 'm.0bfrwty', 'm.05229t1', 'm.0gjd6mj', 'm.0rh7t', 'm.02wk56', 'm.0kyk', 'm.0gcbncw', 'm.0gbj5k', 'm.02h9mz', 'm.0bqch', 'm.0kv75t', 'm.09dtpgl', 'm.01fkdb', 'm.07x9pn', 'm.0h1d311', 'm.026lrk6', 'm.02blrv', 'm.06bbrh', 'm.0q4s_', 'm.0cmd3h7', 'm.0g_j0', 'm.0522qrm', 'm.02rqk08', 'm.0cz80xd', 'm.07y1pt', 'm.0b75dp8', 'm.030ltq', 'm.04gnntq', 'm.0gls8g1', 'm.02pp1r', 'm.01x_s2', 'm.0bqpdb', 'm.03h_wnw', 'm.09gj8lz', 'm.0dvkqn', 'm.04zz8wg', 'm.0c_b6z', 'm.0gpk6_', 'm.0gj4x9z', 'm.05zqn7v', 'm.04ctfc0', 'm.0gy7zpz', 'm.0glz659', 'm.03qm77n', 'm.02f0bs', 'm.027vh_1', 'm.03m6xft', 'm.02cvjh', 'm.0bwb9y9', 'm.04ct6lf', 'm.0g1y6c', 'm.0b_h1_0', 'm.04m0rm', 'm.03c84n6']",SA
What magazine with earliest publication end date did Edgar Allan Poe work for?,"[{'kb_id': 'm.028b1d9', 'text': ""Burton's Gentleman's Magazine""}]",the tell-tale heart,m.0403zxt,edgar allan poe worked for the tell-tale heart with earliest publication end date.,edgar allan poe,m.02lt8,Who worked for the tell - tale heart with earliest publication end date ?,['m.039xbb'],SA
Who had a concert named Crazy Love Tour?,"[{'kb_id': 'm.02hrh1q', 'text': 'Actor'}, {'kb_id': 'm.09l65', 'text': 'Singer'}, {'kb_id': 'm.0nbcg', 'text': 'Songwriter'}]",the best of michael bubl¨¦,m.01nplpx,the best of michael bubl¨¦ had a concert named crazy love tour.,crazy love tour,m.09gfxrx,What concert did the best of michael bubl¨¦ have ?,"['m.064t9', 'm.015y_n', 'm.02k_kn', 'm.05bt6j', 'm.013dwpnn', 'm.0sh4w1p', 'm.03xy0bh', 'm.03jj58c', 'm.0gvsj4t', 'm.02qdgx', 'm.0155w', 'm.02dsz1', 'm.0hr15fd', 'm.04d680_', 'm.0g6r807', 'm.0hrdhp5', 'm.01nplnh', 'm.0_stzwf', 'm.0dwgndb', 'm.0v4df48', 'm.03qk52w', 'm.02vjzr', 'm.05p330y', 'm.01nplrj', 'm.0h3ph__', 'm.0vs4h8k', 'm.0vs4by1', 'm.0vs4c2r', 'm.0vs4th1', 'm.0vs4c45', 'm.0vs4cd_', 'm.05sz70t', 'm.0vs4chc', 'm.0vs4h6b', 'm.0vx14jx', 'm.0h3b6bz', 'm.0h3b6bw', 'm.0vs4c8l', 'm.0vs4b_8', 'm.0vs4c1y', 'm.01npl9y', 'm.0vx14n5', 'm.01npl9h', 'm.0vs4c5y', 'm.0vs4cgs', 'm.0frry2v', 'm.0vs4h60', 'm.0fsmc_0', 'm.0sjzxp4', 'm.0g5sdcc', 'm.0smwvbx', 'm.01bqg6z', 'm.0sll576', 'm.0sl3gd0', 'm.0skqf5_', 'm.0nmscnl', 'm.0156n15', 'm.0pn9j3', 'm.0fvc2bl', 'm.0f_krjr', 'm.0ftrlyy', 'm.0shgv4g', 'm.0f_krkc', 'm.0pn9k6', 'm.0156n0z', 'm.0skr0qr', 'm.0rf3w61', 'm.0sqt_6t', 'm.012rjrfz', 'm.0sk4rk1', 'm.0rf09hf', 'm.0sh019l', 'm.0sp682k', 'm.0fr7cx2', 'm.0156n1d', 'm.0ftpp7c', 'm.0f_krk1', 'm.0f_krjv', 'm.0nl4wfp', 'm.0sy1nb', 'm.0s63lk', 'm.0frrc3l', 'm.0156n2q', 'm.0156n28', 'm.0156m_n', 'm.0156n1m', 'm.0f_krk5', 'm.0156n02', 'm.01dxxq7', 'm.0shq_4l', 'm.0st217m', 'm.0sk8r1j', 'm.04yb913', 'm.05z_gs2', 'm.0161rf', 'm.0156n1v', 'g.1hg0kjfdv', 'm.0dmm6b6', 'm.01npldc', 'm.0r8m85s', 'm.03cp0g6', 'm.02qg9tj', 'm.0sj_ftr', 'g.11btnkm5y7', 'm.0nmzrnk', 'm.0h08p', 'm.07kfx0_', 'm.0156n09', 'm.0156n34', 'm.01npljf', 'm.0156n0r', 'm.0f_krkk', 'm.0fzlcs8', 'm.07k8f_d', 'm.0nlyn9z', 'm.0nlthdw', 'm.0x51w90', 'm.03ctf35', 'm.026rpws', 'm.0y4f8', 'm.0nnq558', 'm.0xc4lrw', 'm.0nn6w8w', 'm.0rrm6nj', 'm.0np013n', 'm.0tnkzd9', 'm.01dt76l', 'm.0gdc3pt', 'm.0f9sjkt', 'm.0dxvv7r', 'm.0d_7jp8', 'm.0sjfyw4', 'm.0sl0qt0', 'm.0nmksb7', 'm.0slltx0', 'm.0174t32', 'm.0fz6c3w', 'm.0skffkj', 'm.0g6pv0p']",SA
What films have featured the composer of Holy Ground?,"[{'kb_id': 'm.02x3lt7', 'text': 'Hannah Montana: The Movie'}, {'kb_id': 'm.06_wqk4', 'text': ""Valentine's Day""}, {'kb_id': 'm.087wc7n', 'text': 'The Lorax'}, {'kb_id': 'm.0djb8hx', 'text': 'Jonas Brothers: The Concert Experience'}, {'kb_id': 'm.0dx5q8', 'text': 'The Giver'}]",ronan,m.0ncnjcy,ronan have featured the composer of holy ground.,holy ground,m.0p3rh07,ronan have featured the composer of what ?,"['m.02hrh1q', 'm.016z4k', 'm.039v1', 'm.0zlsm', 'm.0h64xty', 'm.0v90ysy', 'm.0zt7wlh', 'm.0v90ywq', 'm.0w1gbxc', 'm.012_y_jq', 'm.012wtwn0', 'm.013022f7', 'm.013780bj', 'm.0ychqg1', 'm.012mpq38', 'm.01384jbf', 'm.012yb9pt', 'm.0l8mh7y', 'm.0np8z3z', 'm.0qs2v1z', 'm.0v90yvp', 'm.0q8fd99', 'm.0dyfhdr', 'm.0ymh9t3', 'm.0qhcyx7', 'm.0v90pw0', 'm.0xnljbl', 'm.03g7rsz', 'm.0cmdv8y', 'm.0kt11l5', 'm.011lmk0n', 'm.04fzl64', 'g.12hhhh17b', 'm.0w1gcgg', 'm.0qhdszl', 'm.0y603xz', 'm.03cl661', 'm.0w1gc7j', 'm.0f9j46z', 'm.0fsvq5r', 'm.0xnlptf', 'm.0np7lyc', 'm.0xnltf5', 'm.0rzq3vt', 'm.0xnlfj0', 'm.0qcj7kz', 'm.0qbj764', 'm.0w1gbng', 'm.0qdjmwp', 'm.0xnlgv6', 'm.0xnlk03', 'm.0qhct4y', 'm.0h32z_v', 'm.0xnldx7', 'm.0dx87fz', 'm.0w1gcr6', 'm.0xnlhtx', 'm.0xnlg6g', 'm.0xnln6f', 'm.0v90yqv', 'm.0xnlcw8', 'g.11btzxkr6h', 'g.11b6hzvg95']",SA
How does the religious organization of St. Paul the Apostle Church refer to their deity?,"[{'kb_id': 'm.03qsc', 'text': 'Holy Spirit'}, {'kb_id': 'm.045m1_', 'text': 'Jesus Christ'}, {'kb_id': 'm.077_fbm', 'text': 'The Father'}, {'kb_id': 'm.0d05l6', 'text': 'God'}]",virgin birth of jesus,m.012lvl,the religious organization of st. paul the apostle church refers to their deity by virgin birth of jesus.,st. paul the apostle church,m.02vvkyt,What religious organization refers to their deity by virgin birth of jesus ?,"['m.077_fbm', 'm.03qsc', 'm.0d05l6', 'm.045m1_', 'm.07lq1', 'm.056y1t', 'm.05_6s', 'm.02wvcg4']",SA
What years' World Series were won by the sports team whose owner is Frank McCourt?,"[{'kb_id': 'm.04j7dq', 'text': '1981 World Series'}, {'kb_id': 'm.04j7ml', 'text': '1988 World Series'}, {'kb_id': 'm.04tfkz', 'text': '1965 World Series'}, {'kb_id': 'm.04tfp1', 'text': '1963 World Series'}, {'kb_id': 'm.04tfrv', 'text': '1959 World Series'}]",1963 world series,m.04tfp1,won by the sports team whose owner is frank mccourt were in 1963 world series.,frank mccourt,m.05w2rj,Who is the owner of the sports team that won the 1963 world series ?,['m.095nx'],NA
Which countries in the Caribbean use the Euro?,"[{'kb_id': ':m.0bwhs8r', 'text': 'Caribbean special municipalities of the Netherlands'}]",netherlands,m.059j2,netherlands countries in the caribbean use the euro.,euro,m.02l6h,What do netherlands countries in the caribbean use ?,"['m.0rdr4', 'm.0162v', 'm.06ryl', 'm.0f8l9c', 'm.0d9rp', 'm.0fqxc', 'm.0168t', 'm.05byy', 'm.0d8rs', 'm.0fqww', 'm.06s0l', 'm.0154j', 'm.01pfly', 'm.0157g9', 'm.09c7w0', 'm.059g4', 'm.028y82', 'm.0bt5w', 'm.09lxtg']",SA
What year did the Dodgers beat The Chicago White Sox in the World Series?,"[{'kb_id': 'm.04tfrv', 'text': '1959 World Series'}]",1981 world series,m.04j7dq,the dodgers beat the chicago white sox in the world series in 1981 world series.,chicago white sox,m.01slc,Who did the dodgers beat in the 1981 world series ?,['m.0pzt4'],SA
Which periodical published since 1837 did Edgar Allan Poe work for?,"[{'kb_id': ':m.06thjt', 'text': 'The New School'}]",the narrative of arthur gordon pym of nantucket,m.04v_g_3,the narrative of arthur gordon pym of nantucket periodical published since 1837 did edgar allan poe work for.,edgar allan poe,m.02lt8,Who worked for the narrative of arthur gordon pym of nantucket periodical ?,"['m.0cbd2', 'm.02xhgwq', 'm.05z96', 'm.02h667t', 'm.0kyk', 'm.06zts42']",FP
In which movie did Alexys Nycole Sanchez and Adam Sandler act in?,"[{'kb_id': 'm.0640m69', 'text': 'Grown Ups'}]",eight crazy nights,m.02m7tn,alexys nycole sanchez and adam sandler act in in eight crazy nights.,adam sandler,m.0pz91,alexys nycole sanchez and what else act in in eight Crazy nights ?,"['m.05p553', 'm.020b21', 'm.0b6f8pf', 'm.02hrh1q', 'm.0np9r', 'm.0ch3qr1', 'm.074w86', 'm.010rdrd1', 'm.03z20c', 'm.04dn0fk', 'm.0dxtg', 'm.087pfc', 'm.0bshwmp', 'm.09mcdk', 'm.0mzt5cs', 'm.018gz8', 'm.0f2sx4', 'm.0g4s2b5', 'm.02qdrjx', 'm.0gh9fjz', 'm.0dmh22', 'm.01d_h8', 'm.02tgz4', 'm.03why2r']",SA
What animated type movies did Adam Sandler star in?,"[{'kb_id': 'm.010rdrd1', 'text': 'Pixels'}, {'kb_id': 'm.02m7tn', 'text': 'Eight Crazy Nights'}]",reign over me,m.02hwd1n,did adam sandler star in reign over me type movies.,adam sandler,m.0pz91,Who starred in reign over me type movies ?,"['m.02ph9tm', 'm.07zsmk', 'm.087pfc', 'm.0408m53', 'm.03why2r', 'm.0640m69', 'm.07kb7vh', 'm.09w3b', 'm.02m7tn', 'm.03ttr9', 'm.0gh9fjz', 'm.010rdrd1', 'm.0f2sx4', 'm.02tgz4', 'm.04ybtdp', 'm.0b6f8pf', 'm.095z4q', 'm.03gzn2w', 'm.07x6zk', 'm.0bshwmp', 'm.074w86', 'm.0gwgn1k']",SA
What does the religion who worships in Barcelona Cathedral call their God?,"[{'kb_id': 'm.03qsc', 'text': 'Holy Spirit'}, {'kb_id': 'm.045m1_', 'text': 'Jesus Christ'}, {'kb_id': 'm.077_fbm', 'text': 'The Father'}, {'kb_id': 'm.0d05l6', 'text': 'God'}]",the father,m.077_fbm,the religion who worships in barcelona cathedral calls their god as the father.,barcelona cathedral,m.0vlyb,Where does the religion who worships in their god call their god as the father ?,"['m.0_ylbwq', 'm.0173tc', 'm.01wb7']",NA
"Which movies did Adam Sandler act in, and is in the English Language?","[{'kb_id': 'm.010fch95', 'text': 'Paul Blart: Mall Cop 2'}, {'kb_id': 'm.010rdrd1', 'text': 'Pixels'}, {'kb_id': 'm.02m7tn', 'text': 'Eight Crazy Nights'}, {'kb_id': 'm.02ph9tm', 'text': ""You Don't Mess with the Zohan""}, {'kb_id': 'm.02qdrjx', 'text': 'Bedtime Stories'}, {'kb_id': 'm.02ql1gl', 'text': 'Joe Dirt 2: Beautiful Loser'}, {'kb_id': 'm.03why2r', 'text': 'Paul Blart: Mall Cop'}, {'kb_id': 'm.0408m53', 'text': 'The House Bunny'}, {'kb_id': 'm.0640m69', 'text': 'Grown Ups'}, {'kb_id': 'm.074w86', 'text': 'Deuce Bigalow: European Gigolo'}, {'kb_id': 'm.07kb7vh', 'text': 'Zookeeper'}, {'kb_id': 'm.07x6zk', 'text': 'Dickie Roberts: Former Child Star'}, {'kb_id': 'm.07zsmk', 'text': 'The Benchwarmers'}, {'kb_id': 'm.087pfc', 'text': 'Click'}, {'kb_id': 'm.0b6f8pf', 'text': 'Bucky Larson: Born to Be a Star'}, {'kb_id': 'm.0bshwmp', 'text': 'Just Go With It'}, {'kb_id': 'm.0ch3qr1', 'text': 'Jack and Jill'}, {'kb_id': 'm.0f2sx4', 'text': 'I Now Pronounce You Chuck and Larry'}, {'kb_id': 'm.0gwgn1k', 'text': ""That's My Boy""}, {'kb_id': 'm.0mzt5cs', 'text': 'Grown Ups 2'}, {'kb_id': 'm.0v_ckgv', 'text': 'Blended'}]",i now pronounce you chuck and larry,m.0f2sx4,"adam sandler act in, and was in the english language i now pronounce you chuck and larry.",adam sandler,m.0pz91,"What act in , and was in the english language i now pronounce you chuck and larry ?","['m.0ctw_b', 'm.0chghy', 'm.03v09', 'm.0cr6b8j', 'm.04306rv', 'm.04g51', 'm.04g7d', 'm.03rt9', 'm.01lhy', 'm.064_8sq', 'm.0fdys', 'm.05zjd', 'm.0dh53', 'm.0349s', 'm.0290sh6', 'm.02jfc', 'm.02xlf', 'm.06nm1', 'm.02kdw56']",NA
Which university with the largest number of postgraduates did Kevin Hart attend?,"[{'kb_id': 'm.01jt2w', 'text': 'Temple University'}]",temple university,m.01jt2w,kevin hart attended temple university with the largest number of postgraduates.,kevin hart,m.0ggp1n,Who attended the largest number of postgraduates ?,['m.03yfq3l'],FP
What currency is used in the country with Rio de Janeiro?,"[{'kb_id': 'm.03385m', 'text': 'Brazilian real'}]",ipanema,m.042w1f,ipanema is used in the country with rio de janeiro.,rio de janeiro,m.01hd4s,ipanema is used in the country with what ?,"['m.01kq6y', 'm.0bpwqp', 'm.0gg7v_']",SA
Who is governor for the region that has the Uinta Mountains as a landmark?,"[{'kb_id': 'm.02rzfbm', 'text': 'Matt Mead'}]",mountain states,m.03pzq_,governor for the region that has the uinta mountains as a landmark is mountain states.,governor,m.0fkvn,What is the title of the region that has the uinta mountains as a landmark ?,"['m.04_1l0v', 'm.018hr_', 'm.09c7w0']",FP
What sacred Daoist text had an influence on Jorge Luis Borges?,"[{'kb_id': 'm.0164zy', 'text': 'Zhuang Zhou'}]",h. p. lovecraft,m.03j0d,h. p. lovecraft had an influence on jorge luis borges.,jorge luis borges,m.040db,What did h . p . lovecraft have an influence on ?,"['m.06hmd', 'm.04k0p', 'm.02lt8', 'm.01vgv', 'm.09jyp', 'm.05gpy', 'm.03hnd', 'm.03_dj', 'm.0h9jm', 'm.01b7r6', 'm.061c9', 'm.037mh8', 'm.03x8tq', 'm.015zkd', 'm.0qdzd', 'm.02822']",SA
Who held Secretary of State after the Battle of Vicksburg?,"[{'kb_id': 'm.07t2k', 'text': 'Ulysses S. Grant'}]",james baker,m.01f6t5,james baker held secretary of state after the battle of vicksburg.,secretary of state,m.0789n,What position did james baker hold after the battle of vicksburg ?,"['m.0bw8r', 'm.07y07', 'm.01f62w', 'm.07t2k']",SA
What currency is used in the country with Rio de Janeiro?,"[{'kb_id': 'm.03385m', 'text': 'Brazilian real'}]",cida diogo,m.04cllbn,cida diogo is used in the country with rio de janeiro.,rio de janeiro,m.01hd4s,What is the country with which cida diogo is used ?,['m.015fr'],SA
"Which magazine did Edgar Allan Poe work for, with the earliest publication start date?","[{'kb_id': 'm.028b1d9', 'text': ""Burton's Gentleman's Magazine""}]",the pit and the pendulum,m.0dl5mr,"edgar allan poe worked for, with the earliest publication start date the pit and the pendulum.",edgar allan poe,m.02lt8,Who worked for the earliest publication start date the pit and the pendulum ?,"['m.02hrh1q', 'm.01d_h8', 'm.03gjzk', 'm.04gc2', 'm.0r00l', 'm.012t_z', 'm.0dxtg']",SA
What major US religion has a religious organization named Army of the Lord?,"[{'kb_id': ':m.01lp8', 'text': 'Christianity'}]",christianity,m.01lp8,christianity has a religious organization named army of the lord.,army of the lord,m.010hq7jr,What is the name of the religious organization that christianity has ?,"['m.0798q', 'm.03qsc', 'm.0d05l6', 'm.03_gx', 'm.05sfs']",SA
For what magazine that began production prior to 1844 did Edgar Allan Poe work?,"[{'kb_id': 'm.028b1d9', 'text': ""Burton's Gentleman's Magazine""}]",morella,m.0nbb3yb,for morella began production prior to 1844 did edgar allan poe work.,edgar allan poe,m.02lt8,What did what work for morella begin production prior to 1844 ?,"['m.02xhgwq', 'm.0cbd2', 'm.0kyk', 'm.05z96', 'm.06zts42', 'm.0dxtg']",FP
Which major religion of the US has "Uchchhishta Ganapati" as a deity?,"[{'kb_id': 'm.03j6c', 'text': 'Hinduism'}]",hinduism,m.03j6c,hinduism of the us has " uchchhishta ganapati " as a deity.,uchchhishta ganapati,m.010x89zn,Who is a deity in hinduism of the us ?,"['m.01j92y', 'm.03vh65', 'm.055v4c', 'm.03kbr', 'm.0c38sm', 'm.02kvzk_', 'm.0d89n8', 'm.03rk0', 'm.0pjwm', 'm.0pdvt', 'm.0ng8b', 'm.051pk7', 'm.04fckk', 'm.074l5', 'm.0pm0x', 'm.0d060g', 'm.01_4x0', 'm.0f0m_4']",NA
What magazine with earliest publication end date did Edgar Allan Poe work for?,"[{'kb_id': 'm.028b1d9', 'text': ""Burton's Gentleman's Magazine""}]",the blood demon,m.0127p0qd,edgar allan poe worked for the blood demon with earliest publication end date.,edgar allan poe,m.02lt8,Who worked for the blood demon with earliest publication end date ?,"['m.02hrh1q', 'm.05hj__k', 'm.02jknp', 'm.0dxtg', 'm.0csvw5', 'm.01xq8v', 'm.0hcp1', 'm.02r9mrt', 'm.064r9j', 'm.0chl70', 'm.0crsq3w', 'm.0743ql', 'm.07m7j8', 'm.0732_0', 'm.075xrl', 'm.077hq8', 'm.03pyd6', 'm.04nkm_', 'm.073bl9', 'm.0bbtj2', 'm.02ml29', 'm.02ml14', 'm.035yn8', 'm.048p_g', 'm.027dkz6', 'm.06d6nx', 'm.06d6z_', 'm.07m7ls', 'm.080bbt', 'm.02vhv', 'm.04193s', 'm.03tb_8', 'm.031s9x', 'm.09yqn5', 'm.095_xw', 'm.027jw0c', 'm.09_dfl', 'm.0kv371', 'm.0815dq', 'm.09yqf1', 'm.06z8hq', 'm.02mkwj', 'm.02r71n', 'm.0bfv4r', 'm.0c5nv_', 'm.09yqpy', 'm.05gmn3', 'm.04xx35', 'm.0d2ylv', 'm.04j2bln', 'm.01yttf', 'm.02mkys', 'm.0ft8g4', 'm.04j2147', 'm.07022t', 'm.0crrqd8', 'm.0dm5gp', 'm.06_nv6', 'm.01yvmf', 'm.04j06_y', 'm.05_5y0h', 'm.05q8n', 'm.05nhv2', 'm.0fkzvz', 'm.07rhl9', 'm.06d6ch', 'm.08dl83', 'm.09qljs', 'm.014hr', 'm.03d243x', 'm.02ml1k', 'm.05bf0lq', 'm.06kc5h', 'm.070pcg', 'm.04j1_9j', 'm.04mqwg', 'm.02xb1zf', 'm.09_j17', 'm.02q0np5', 'm.01l40', 'm.031ssn', 'm.0680y4', 'm.070j02', 'm.02mkzj', 'm.0ch5gpb', 'm.07g38', 'm.09yqhw', 'm.02ktq2', 'm.076_1m', 'm.09yj8d', 'm.047bx4_', 'm.01g3gq', 'm.07cbtf', 'm.07m2f7', 'm.05wq1m', 'm.016mng', 'm.01ss20', 'm.0d1h9c', 'm.07z5km', 'm.0gy30w', 'm.06vbd_', 'm.09m6vx', 'm.0bmflf5', 'm.08tqnz', 'm.04ydvw_', 'm.0c33c1', 'm.0djbd20', 'm.0f974j', 'm.026ljzc', 'm.0270n8r', 'm.02815nw', 'm.025slc_', 'm.07h_rj', 'm.0d3vc0', 'm.047g36w', 'm.0fnt44', 'm.0df7k7', 'm.04j0c3_', 'm.05sybnt', 'm.03gw4vk', 'm.0fx23h', 'm.08zqb6', 'm.0ryss9v', 'm.061_jx', 'm.0gfybvp', 'm.0g7d03', 'm.02pxq42', 'm.0bk6z3', 'm.03c9r1v', 'm.06qwh0', 'm.02rlqy0', 'm.03c2x30', 'm.05sptf1', 'm.0cs05r4', 'm.05m_c4m', 'm.0860sg', 'm.0crrcjb', 'm.05h4rxh', 'm.09rx0yj', 'm.0crymhx', 'm.07f458', 'm.0crvlhm', 'm.027988s', 'm.04j1_y6', 'm.0crrr87', 'm.04j1f84', 'm.0crsmvf', 'm.04j0m6t', 'm.0d7lys', 'm.0286s61', 'm.04c3jd', 'm.03gtqpk', 'm.02dj5n', 'm.0crsqc6', 'm.073x_t', 'm.0fvblp', 'm.02vwy8s', 'm.0g6jhg', 'm.0765dp', 'm.08b9v0', 'm.05c8xf', 'm.0d7rqc', 'm.0dxlh7', 'm.043lslk', 'm.09q1qm', 'm.0c42gp', 'm.0gy4mh', 'm.0crt8zg', 'm.0803h93', 'm.07ftpp', 'm.083xs1', 'm.0c1qws', 'm.05pcssh', 'm.0crzm16', 'm.05msfxf', 'm.04j0cgf', 'm.080jn31', 'm.02rx2hc', 'm.0bhb83p', 'm.0crspx8', 'm.06wb73s', 'm.0ch30sk', 'm.060g7r', 'm.079csk', 'm.0dgks8t', 'm.0408ch5', 'm.0crxx__', 'm.0h4dtc', 'm.026s16v', 'm.02w4gh8', 'm.02cbbd', 'm.05ddyt', 'm.0cqkrt5', 'm.0crs0n1', 'm.0kv38y', 'm.02gk59', 'm.0brjnd', 'm.08q1n8', 'm.0ggp41', 'm.09g8dv', 'm.02zmr8', 'm.09rz602', 'm.07k482', 'm.08n26b', 'm.02pl62m', 'm.03t397', 'm.0gfg_d_', 'm.0g95_y', 'm.02qf52n', 'm.03cljmh', 'm.039yp5', 'm.08ll52', 'm.047n8r', 'm.0m3gy', 'm.0c9jj9', 'm.0by5bf', 'm.0389gk', 'm.0d0xt6', 'm.04xdwm', 'm.03c6tgc', 'm.09p5mwg', 'm.0bfj1l', 'm.088f4w', 'm.08vx93', 'm.0kt_zc', 'm.0gbm1h5', 'm.02zmq6', 'm.02rwfz6', 'm.09b9x1', 'm.02vt5c', 'm.0kv4f1', 'm.02vrq_n', 'm.0g94jz', 'm.027vg01', 'm.0df3np', 'm.04j15v4', 'm.04j06k_', 'm.080sh0', 'm.0cgy_xt', 'm.02x7410', 'm.0f8597', 'm.02w0375', 'm.0bh8dbg', 'm.0bbbnlt', 'm.0cd_cp', 'm.03cbzb_', 'm.03j088', 'm.0bbw5dq', 'm.02829_b', 'm.05b5ydr', 'm.0704hw', 'm.0h45y0', 'm.0b7yxhl', 'm.07s7zqc', 'm.0397fk', 'm.0h3lpw', 'm.02w4d6q', 'm.04j230h', 'm.08l89m', 'm.0kvc_d', 'm.02ww0q4', 'm.02vqc77', 'm.06k4hg', 'm.04vmhy', 'm.05nsx8', 'm.0bqwg4', 'm.08t6yk', 'm.01t7bl', 'm.0dk1cw', 'm.06dt8s', 'm.04cyvf']",SA
Which films did Adam Sandler appear in that have a Netflix ID number lower than 70087541?,"[{'kb_id': 'm.0f2sx4', 'text': 'Dickie Roberts: Former Child Star'}, {'kb_id': 'm.074w86', 'text': 'Deuce Bigalow: European Gigolo'}, {'kb_id': 'm.087pfc', 'text': 'Bedtime Stories'}, {'kb_id': 'm.02qdrjx', 'text': 'The Benchwarmers'}, {'kb_id': 'm.07zsmk', 'text': 'Eight Crazy Nights'}, {'kb_id': 'm.02m7tn', 'text': 'Click'}, {'kb_id': 'm.07x6zk', 'text': 'I Now Pronounce You Chuck and Larry'}]",click,m.087pfc,adam sandler appeared in that have a netflix id number lower than 70087541 click.,adam sandler,m.0pz91,What appeared in that have a netflix id number lower than 70087541 click ?,"['m.02qdrjx', 'm.020b21', 'm.07kb7vh', 'm.02tgz4', 'm.0640m69', 'm.02bhsc', 'm.02hxhz', 'm.0gh9fjz', 'm.074w86', 'm.0mzt5cs', 'm.02m7tn', 'm.010rdrd1', 'm.0ch3qr1', 'm.0b6f8pf', 'm.036z1n', 'm.03why2r', 'm.07zsmk', 'm.0gwgn1k', 'm.03z20c', 'm.010fch95', 'm.02ph9tm', 'm.0f2sx4', 'm.0bshwmp', 'm.02hrh1q']",NA
Which Tokyo International Film Festival movie debut stared Logan Lerman?,"[{'kb_id': 'm.0crc2cp', 'text': 'The Three Musketeers'}]",my one and only,m.04f46k7,my one and only tokyo international film festival movie debut stared logan lerman.,logan lerman,m.04f1s6,What was the name of my one and only tokyo international film festival movie ?,"['m.01yzhn', 'm.06hd0t']",FP
